plant_species;match_type;multiple_matches;match_similarity;match_edit_distance;wcvp_id;wcvp_name;wcvp_authors;wcvp_rank;wcvp_status;wcvp_homotypic;wcvp_ipni_id;wcvp_accepted_id
Poa remota;Exact (without author);TRUE;1;0;437094;Poa remota;Fr. ex Nyman;Species;Invalid;NA;417900-1;476775
Poa versicolor;Exact (without author);FALSE;1;0;437633;Poa versicolor;Besser;Species;Accepted;NA;418330-1;437633
Polypogon monspeliensis;Exact (without author);FALSE;1;0;438098;Polypogon monspeliensis;(L.) Desf.;Species;Accepted;NA;1048074-2;438098
Psathyrostachys juncea;Exact (without author);FALSE;1;0;438234;Psathyrostachys juncea;(Fisch.) Nevski;Species;Accepted;NA;418806-1;438234
Psilurus incurvus;Exact (without author);FALSE;1;0;438524;Psilurus incurvus;(Gouan) Schinz & Thell.;Species;Synonym;TRUE;418924-1;496797
Puccinellia distans subsp. limosa;Exact (without author);FALSE;1;0;438652;Puccinellia distans subsp. limosa;(Schur) Jáv.;Subspecies;Synonym;NA;77260520-1;438643
Saccharum;Exact (without author);FALSE;1;0;439841;Saccharum;L.;Genus;Accepted;NA;330004-2;439841
Schismus;Exact (without author);FALSE;1;0;441217;Schismus;P.Beauv.;Genus;Accepted;NA;18955-1;441217
Sclerochloa dura;Exact (without author);FALSE;1;0;441630;Sclerochloa dura;(L.) P.Beauv.;Species;Accepted;NA;421086-1;441630
Secale vavilovii;Exact (without author);FALSE;1;0;441807;Secale vavilovii;Grossh.;Species;Accepted;NA;421197-1;441807
Sesleria autumnalis;Exact (without author);FALSE;1;0;441971;Sesleria autumnalis;(Scop.) F.W.Schultz;Species;Accepted;NA;421319-1;441971
Sesleria heufleriana;Exact (without author);FALSE;1;0;442045;Sesleria heufleriana;Schur;Species;Accepted;NA;421353-1;442045
Sesleria latifolia;Exact (without author);FALSE;1;0;442064;Sesleria latifolia;(Adamovic) Degen;Species;Accepted;NA;421366-1;442064
Sesleria rigida;Exact (without author);FALSE;1;0;442090;Sesleria rigida;Heuff. ex Rchb.;Species;Accepted;NA;421390-1;442090
Setaria adhaerens;Exact (without author);FALSE;1;0;442159;Setaria adhaerens;(Forssk.) Chiov.;Species;Accepted;NA;421428-1;442159
Sphenopus;Exact (without author);FALSE;1;0;443896;Sphenopus;Trin.;Genus;Accepted;NA;19050-1;443896
Sporobolus;Exact (without author);FALSE;1;0;443991;Sporobolus;R.Br.;Genus;Accepted;NA;60437275-2;443991
Stipa barbata;Exact (without author);TRUE;1;0;444755;Stipa barbata;Desf.;Species;Accepted;NA;423140-1;444755
Stipa barbata;Exact (without author);TRUE;1;0;444756;Stipa barbata;Michx.;Species;Illegitimate;NA;77247187-1;434522
Tripidium;Exact (without author);FALSE;1;0;450980;Tripidium;H.Scholz;Genus;Accepted;NA;77075503-1;450980
Trisetum distichophyllum;Exact (without author);FALSE;1;0;447833;Trisetum distichophyllum;(Vill.) P.Beauv.;Species;Synonym;TRUE;425179-1;533047
Triticale;Exact (without author);FALSE;1;0;387224;× Triticale;Hurst;Genus;Synonym;NA;77126989-1;387226
Triticosecale blaringhemii;Exact (without author);FALSE;1;0;387227;× Triticosecale blaringhemii;A.Camus;Species;Unplaced;NA;425523-1;NA
Triticum aestivum subsp. spelta;Exact (without author);FALSE;1;0;448373;Triticum aestivum subsp. spelta;(L.) Thell.;Subspecies;Accepted;NA;77189305-1;448373
Vulpia bromoides;Exact (without author);FALSE;1;0;449940;Vulpia bromoides;(L.) Gray;Species;Synonym;TRUE;426622-1;414675
Vulpia geniculata;Exact (without author);FALSE;1;0;449979;Vulpia geniculata;(L.) Link;Species;Synonym;TRUE;426646-1;477682
Vulpia myuros;Exact (without author);FALSE;1;0;450041;Vulpia myuros;(L.) C.C.Gmel.;Species;Synonym;TRUE;94872-3;415734
Vulpia unilateralis;Exact (without author);FALSE;1;0;450108;Vulpia unilateralis;(L.) Stace;Species;Synonym;NA;426718-1;415648
Kerria japonica;Exact (without author);FALSE;1;0;2950069;Kerria japonica;(L.) DC.;Species;Accepted;NA;725814-1;2950069
Cornus kousa;Exact (without author);FALSE;1;0;47414;Cornus kousa;Bürger ex Hance;Species;Accepted;NA;30115668-2;47414
Forsythia;Exact (without author);TRUE;1;0;2813771;Forsythia;Walter;Genus;Illegitimate;NA;37040-1;2855579
Forsythia;Exact (without author);TRUE;1;0;369405;Forsythia;Vahl;Genus;Accepted;NA;331614-2;369405
Hedera colchica;Exact (without author);FALSE;1;0;96606;Hedera colchica;(K.Koch) K.Koch;Species;Accepted;NA;90679-1;96606
Staphisagria picta;Exact (without author);FALSE;1;0;2902782;Staphisagria picta;(Willd.) Jabbour;Species;Accepted;NA;77115896-1;2902782
Vaccinium macrocarpon;Exact (without author);FALSE;1;0;2457729;Vaccinium macrocarpon;Aiton;Species;Accepted;NA;261912-2;2457729
Viola altaica subsp. oreades;Exact (without author);FALSE;1;0;3232179;Viola altaica subsp. oreades;(M.Bieb.) W.Becker;Subspecies;Synonym;TRUE;NA;2459273
Viola calcarata subsp. cavillieri;Exact (without author);FALSE;1;0;2463987;Viola calcarata subsp. cavillieri;(W.Becker) Negodi;Subspecies;Synonym;TRUE;77314565-1;2463760
Viola biflora;Exact (without author);FALSE;1;0;2464036;Viola biflora;L.;Species;Accepted;NA;867746-1;2464036
Dryas;Exact (without author);FALSE;1;0;2948008;Dryas;L.;Genus;Accepted;NA;33769-1;2948008
Lygeum spartum;Exact (without author);FALSE;1;0;423191;Lygeum spartum;Loefl. ex L.;Species;Accepted;NA;407723-1;423191
Pilosella;Exact (without author);TRUE;1;0;3134301;Pilosella;Hill;Genus;Accepted;NA;30065694-2;3134301
Pilosella;Exact (without author);TRUE;1;0;2411777;Pilosella;Kostel.;Genus;Illegitimate;NA;12925-1;2476208
Plantago altissima;Exact (without author);TRUE;1;0;2571394;Plantago altissima;L.;Species;Accepted;NA;684856-1;2571394
Plantago altissima;Exact (without author);TRUE;1;0;2571404;Plantago altissima;Loisel.;Species;Illegitimate;NA;684857-1;3260881
Symphytum anatolicum;Exact (without author);FALSE;1;0;2475956;Symphytum anatolicum;Boiss.;Species;Accepted;NA;120737-1;2475956
Panderia pilosa;Exact (without author);FALSE;1;0;2409112;Panderia pilosa;Fisch. & C.A.Mey.;Species;Synonym;TRUE;166348-1;2903240
