"species","mean_longitude","mean_latitude","distance_to_europe_center"
"Acacia omalophylla",145.308475071341,-30.6254118549041,14402.0904640706
"Acacia podalyriifolia",145.803158365266,-27.4987240415117,14146.456761014
"Acacia pycnantha",142.399257977659,-33.1163329863565,14459.7900106867
"Acacia retinodes",135.863416132787,-30.2174498809785,13832.2711383455
"Acacia saligna",122.128257029599,-25.7630820094268,12655.6772810507
"Acacia ulicifolia",145.631866766586,-33.4586285105007,14672.5033199365
"Acaena magellanica",-1.14761265748377,-44.1375728101509,11804.35806797
"Acaena novae-zelandiae",119.904037867497,-33.8963802916224,13275.3536418228
"Acalypha australis",113.952068070783,29.4975315882091,6995.18864855192
"Acalypha hispida",150.626221993427,-4.93952797327544,12251.5683581442
"Acalypha wilkesiana",163.135469960122,-10.8752046747765,13446.1064377358
"Acantholimon avenaceum",53.04025961818,37.6601026006344,3008.8348735771
"Acantholimon caryophyllaceum",44.7435225004023,36.4875431725362,2828.13033997607
"Acantholimon libanoticum",36.9128105127592,37.0053081386959,2584.64488598099
"Acantholimon ulicinum",36.9128105127592,37.0053081386959,2584.64488598099
"Acanthophyllum persicum",54.2188581515797,32.7603206339466,3543.38329882583
"Acanthospermum hispidum",-66.5182754435343,1.23460649823954,10155.7224327684
"Acer buergerianum",112.389645532724,29.5610608440129,6903.01313939774
"Acer carpinifolium",138.214120033694,37.9061166876332,7454.27427897015
"Acer circinatum",-127.633892248779,49.7960607024922,7685.69148967591
"Acer davidii",107.811140660641,31.9922741417643,6429.03439219137
"Acer davidii subsp. grosseri",109.53258645713,31.4963720370468,6569.40121383637
"Acer glabrum",-115.278815221416,44.533912403623,7994.03754556152
"Acer japonicum",144.598446667283,42.5213483229847,7289.9559179943
"Acer macrophyllum",-127.633892248779,49.7960607024922,7685.69148967591
"Acer mandshuricum",124.542295262126,41.858018909543,6439.02236603811
"Acer miyabei",120.711263701038,34.5847391669354,6897.77579439906
"Acer monspessulanum subsp. cinerascens",43.4716125096803,36.1864782275279,2822.66858779061
"Acer monspessulanum subsp. ibericum",44.5097212159612,39.302756986279,2528.47509012417
"Acer monspessulanum subsp. microphyllum",36.9128105127592,37.0053081386959,2584.64488598099
"Acer negundo",-94.3583844043279,36.9947898927267,8080.83302411504
"Acer oblongum",97.5798916836163,26.3079859366091,6366.05495330414
"Acer palmatum",132.838731139787,38.2590094247754,7170.49638595196
"Acer pensylvanicum",-81.4952946943852,40.80519572721,7166.71043024565
"Acer pictum",122.807526283058,42.2612008897584,6316.9998922169
"Acer pseudosieboldianum",129.579480884321,43.2951758237409,6553.47327851165
"Acer rubrum",-84.11821000585,39.9486831207018,7364.00556271083
"Acer saccharinum",-85.2058963793822,40.7791862945228,7332.03878979328
"Acer saccharum",-86.2503773167725,38.6410962331338,7582.21677329389
"Acer spicatum",-82.1652306358632,43.9093046333898,6904.66852005216
"Acer tataricum subsp. ginnala",123.950152726769,43.5942347125413,6255.7937450387
"Acer tataricum subsp. semenovii",71.2407869451,40.9314018061356,3606.69845675442
"Acer undulatum",35.441648478726,39.0283978298971,2339.90609916532
"Acer velutinum",49.8874054681928,36.9018411757196,2959.90106834177
"Achillea alpina",39.9865407591548,51.0824578392883,1200.32354446559
"Achillea biserrata",41.2733422374216,41.4835691037231,2204.58125031968
"Achillea cucullata",35.441648478726,39.0283978298971,2339.90609916532
"Achillea filipendulina",56.1898199273704,38.322032877272,3080.85073812664
"Achillea goniocephala",35.441648478726,39.0283978298971,2339.90609916532
"Achillea phrygia",35.441648478726,39.0283978298971,2339.90609916532
"Achillea ptarmicifolia",44.1891891167694,42.7111547406361,2169.85350874056
"Achillea sintenisii",35.441648478726,39.0283978298971,2339.90609916532
"Achillea sipikorensis",35.441648478726,39.0283978298971,2339.90609916532
"Achillea tenuifolia",54.4164012874212,37.2201986569077,3109.55863295155
"Achillea teretifolia",35.441648478726,39.0283978298971,2339.90609916532
"Achillea wilhelmsii",42.5904445397954,34.0281991611225,3027.9572525023
"Achnatherum pekinense",127.349016871685,42.7419629432246,6496.97631124653
"Achnatherum sibiricum",94.5842377180928,45.0248257685358,4584.67885663964
