"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status","mean_longitude","mean_latitude","distance_to_europe_center"
"Aegilops kotschyi",3,FALSE,387702,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe",42.6893906015344,32.1122675446206,3633.13488410844
"Aegilops longissima",1,FALSE,387443,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",1,3572.22449349669,"Accepted",387443,"Aegilops longissima",NA,"Genus in Europe",34.7611288657405,30.9190641743043,3458.3400546717
"Aegopodium tribracteolatum",1,FALSE,2623506,"Apiaceae","Aegopodium",NA,NA,"Non-Woody","Perennial",1,2480.4891350864,"Accepted",2623506,"Aegopodium tribracteolatum",NA,"Genus in Europe",43.4716125096803,36.1864782275279,3268.98347343036
"Aesculus chinensis",1,FALSE,2624488,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",108.085668386166,28.2571924201583,7528.89498567562
"Aesculus flava",4,FALSE,2624500,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",52,92760.211360932,"Accepted",2624500,"Aesculus flava",1813,"Genus in Europe",-82.075802220745,37.5175463411,6895.6339048117
"Aesculus glabra",5,FALSE,2624506,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",8,12591.1743237558,"Accepted",2624506,"Aesculus glabra",NA,"Genus in Europe",-86.3595975332326,39.7022191652562,6912.52494082291
"Aesculus indica",3,FALSE,2624522,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",26,52343.1401695971,"Accepted",2624522,"Aesculus indica",1989,"Genus in Europe",80.2088852705239,29.7268557724889,5816.4580604443
"Aesculus parviflora",3,FALSE,2624566,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",86,143248.122922875,"Accepted",2624566,"Aesculus parviflora",1996,"Genus in Europe",-85.1400876001945,32.748312674079,7489.88656881355
"Aesculus pavia",8,FALSE,2624568,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",50,93005.0108746862,"Accepted",2624568,"Aesculus pavia",1959,"Genus in Europe",-87.3002408857046,34.8610833473273,7404.18768008067
"Aesculus turbinata",2,FALSE,2624593,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",4,6893.73689535007,"Accepted",2624593,"Aesculus turbinata",NA,"Genus in Europe",138.214120033694,37.9061166876332,8060.8168110573
"Aesculus × bushii",1,FALSE,2624480,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-92.4386831448467,34.6694225037744,7675.44532129766
"Aesculus × hybrida",1,FALSE,2624521,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",2,5055.57864971804,"Accepted",2624521,"Aesculus × hybrida",NA,"Genus in Europe",-78.7430713509232,38.4115194466394,6643.11709721593
"Aesculus × neglecta",4,FALSE,2624546,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",1,2480.48913508653,"Accepted",2624546,"Aesculus × neglecta",NA,"Genus in Europe",-82.6214633301683,34.7276898592035,7177.44073739322
"Aethionema grandiflorum",1,FALSE,2624694,"Brassicaceae","Aethionema","Perennial","Non-Woody","Non-Woody","Perennial",1,3572.22449349669,"Accepted",2624694,"Aethionema grandiflorum",NA,"Genus in Europe",44.7435225004023,36.4875431725362,3298.48815034179
"Agrimonia parviflora",1,FALSE,2907628,"Rosaceae","Agrimonia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",-86.6273812900187,38.9123817663362,6997.73865069819
"Agrimonia repens",5,FALSE,2938694,"Rosaceae","Agrimonia","Perennial","Non-Woody","Non-Woody","Perennial",119,290737.174712463,"Accepted",2938694,"Agrimonia repens",1827,"Genus in Europe",39.1944172040054,35.7095695954001,3131.79414393096
"Agrostis exarata",1,FALSE,389557,"Poaceae","Agrostis","Perennial","Non-Woody","Non-Woody","Perennial",5,6161.69342830106,"Accepted",389557,"Agrostis exarata",1891,"Genus in Europe",-91.7102931927236,44.1470015010431,6759.53697806151
"Agrostis scabra",1,FALSE,390266,"Poaceae","Agrostis",NA,"Non-Woody","Non-Woody","Perennial",116,152643.489620456,"Accepted",390266,"Agrostis scabra",1892,"Genus in Europe",-59.4245462766885,43.5810636403157,5161.08679284645
"Akhania canescens",1,FALSE,3288839,"Amaranthaceae","Akhania","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",50.5836149586517,36.9246285109394,3542.30838788467
"Alcea acaulis",2,FALSE,2627621,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",34.45189879433,32.7574449330508,3256.90782411262
"Alcea apterocarpa",3,FALSE,2627628,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",35.9933920324792,33.7623905538828,3206.10180237513
"Alcea calvertii",1,FALSE,2627635,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe",45.0721531383705,37.6106933937788,3207.99587331676
