"species","tiles","area"
"Gypsophila arrostii",1,1898679353.68
"Gypsophila elegans",485,868684829418.095
"Gypsophila fastigiata",184,283785504775.132
"Gypsophila fastigiata subsp. fastigiata",32,60714805680.1951
"Gypsophila glomerata",5,8777393949.06696
"Gypsophila paniculata",785,1438618190223.29
"Gypsophila papillosa",4,8925990692.90143
"Gypsophila perfoliata",142,264707776430.62
"Gypsophila pilosa",41,107594803326.403
"Gypsophila repens",331,652074304254.895
"Gypsophila scorzonerifolia",58,119183819784.727
"Gypsophila struthium",56,180546131305.166
"Gypsophila struthium subsp. hispanica",35,109869085402.253
"Gypsophila vaccaria",832,1669976539388.96
"Gyrophyllum verticillatum",330,643927755189.003
"Haberlea rhodopensis",10,21183691908.0709
"Hablitzia tamnoides",19,25804091393.1963
"Hackelia deflexa",360,450547073901.752
"Halerpestes cymbalaria",16,12584254722.2847
"Halocnemum strobilaceum",64,110767014297.905
"Halogeton sativus",20,52118127679.5235
"Halostachys caspica",1,1503373399.8285
"Haloxylon salicornicum",19,54894279887.0611
"Haplophyllum suaveolens",47,92873327701.7918
"Hedera canariensis",37,93404493607.9021
"Hedera colchica",371,752078277594.104
"Hedera helix",2127,3937339164577.86
"Hedera taurica",2,2181151492.18293
"Hedlundia arranensis",1,884794565.448907
"Hedlundia borbasii",4,6921036047.19287
"Hedlundia hybrida",338,420076191849.353
"Hedlundia meinichii",41,39442383093.0377
"Hedlundia mougeotii",283,482349534702.05
"Hedlundia neglecta",2,1625460350.15744
"Hedlundia thuringiaca",109,232378477536.57
"Hedychium coronarium",1,2017763160.97119
"Hedychium gardnerianum",34,63591426098.3957
"Hedypnois rhagadioloides",328,745697098227.645
"Hedysarum boveanum",81,246324429912.933
"Hedysarum candidum",10,14983552130.7854
"Hedysarum hedysaroides",200,301909615670.126
"Hedysarum tauricum",7,8592384412.94852
"Helenium autumnale",48,83663222592.2612
"Helianthemum aegyptiacum",110,320453180851.54
"Helianthemum apenninum",424,1098799014417.96
"Helianthemum apenninum subsp. cantabricum",13,38273366702.6835
"Helianthemum canariense",1,707545967.820154
"Helianthemum canum",266,646144946220.256
"Helianthemum cinereum",107,323702097301.949
"Helianthemum croceum",69,209216396127.23
"Helianthemum hirtum",181,496515820419.063
"Helianthemum ledifolium",168,471408588610.658
"Helianthemum lippii",1,3010207056.44147
"Helianthemum marifolium",97,274485742158.243
"Helianthemum nummularium",1418,2726597173743.48
"Helianthemum nummularium subsp. grandiflorum",1418,2726597173743.48
"Helianthemum nummularium subsp. obscurum",1418,2726597173743.48
"Helianthemum nummularium subsp. tomentosum",52,99739669699.8905
"Helianthemum oelandicum",210,476403847751.305
"Helianthemum oelandicum subsp. alpestre",210,476403847751.305
"Helianthemum oelandicum subsp. italicum",210,476403847751.305
"Helianthemum oelandicum subsp. orientale",5,6830225146.72171
"Helianthemum oelandicum subsp. rupifragum",10,17529525061.3649
"Helianthemum oelandicum subsp. stevenii",2,1220284135.27969
"Helianthemum salicifolium",281,722966996250.571
"Helianthemum squamatum",58,184650908634.92
"Helianthemum stipulatum",5,5082894224.14254
"Helianthemum syriacum",79,228105800903.549
"Helianthemum violaceum",117,329295928099.418
"Helianthemum virgatum",2,5395843861.45789
"Helianthus annuus",2328,4094616993743.57
"Helianthus atrorubens",4,5302357102.39662
"Helianthus debilis",29,51983141873.9504
"Helianthus debilis subsp. cucumerifolius",29,51983141873.9504
"Helianthus decapetalus",96,191522023984.088
"Helianthus maximiliani",3,3680936383.21526
"Helianthus pauciflorus",214,380723764529.113
"Helianthus petiolaris",62,87101367906.9348
"Helianthus salicifolius",53,102182888933.32
"Helianthus strumosus",11,19193877082.598
"Helianthus tuberosus",2101,3847077006412.9
"Helianthus × laetiflorus",372,694977634074.404
"Helichrysum arenarium",1191,2147649694723.03
"Helichrysum errerae",2,734057765.329776
"Helichrysum foetidum",68,134589476628.237
"Helichrysum graveolens",3,5630142994.29435
"Helichrysum italicum",562,1212287766258.62
"Helichrysum italicum subsp. microphyllum",562,1212287766258.62
"Helichrysum litoreum",17,23997100053.8234
"Helichrysum orientale",7,12575029979.3421
"Helichrysum plicatum",4,7088479268.03583
"Helichrysum plicatum subsp. polyphyllum",4,7088479268.03583
"Helichrysum serotinum",185,479191386435.079
"Helichrysum serotinum subsp. picardii",33,51816184561.8388
"Helichrysum stoechas",485,1106290663111.85
"Helictochloa bromoides",211,551377545446.938
"Helictochloa planiculmis",9,18866623502.7956
"Helictochloa praeusta",41,76360875029.0189
"Helictochloa pratensis",697,1256777704440.72
"Helictochloa versicolor",132,256727187689.407
"Helictotrichon desertorum",83,140493403526.168
"Helictotrichon filifolium",44,127171410876.511
"Helictotrichon parlatorei",49,90002721339.3938
"Helictotrichon sarracenorum",8,27694818808.0389
"Heliophila amplexicaulis",1,3572224493.49669
"Heliophila coronopifolia",1,3572224493.49669
"Heliopsis helianthoides",759,1381727326718.11
"Heliosperma alpestre",47,83423953429.4017
"Heliosperma pusillum",137,284437317114.519
"Heliotropium ellipticum",22,42239155476.5463
"Heliotropium europaeum",978,2080649339384.53
"Heliotropium hirsutissimum",26,44435964448.5898
"Heliotropium suaveolens",19,34553807219.1755
"Heliotropium supinum",130,331173389437.142
"Helleborus argutifolius",135,210593423287.52
"Helleborus cyclophyllus",20,43832650659.4945
"Helleborus dumetorum",46,90788697854.1073
"Helleborus foetidus",1045,2117453639542.7
"Helleborus lividus",8,11259240655.1352
"Helleborus multifidus",26,60781252812.9271
"Helleborus multifidus subsp. bocconei",26,60781252812.9271
"Helleborus multifidus subsp. istriacus",26,60781252812.9271
"Helleborus niger",798,1557784030975.49
"Helleborus odorus",83,189396707703.831
"Helleborus orientalis",383,657148606557.154
"Helleborus purpurascens",63,134467036080.121
"Helleborus viridis",767,1569873630521.13
"Helleborus viridis subsp. occidentalis",767,1569873630521.13
"Helminthotheca aculeata",2,6256595981.04615
"Helminthotheca comosa",24,77965800205.2575
"Helminthotheca comosa subsp. lusitanica",21,52270439865.8559
"Helminthotheca echioides",1121,2232752422866.99
"Helosciadium crassipes",6,11617504742.6482
"Helosciadium inundatum",509,895842817209.266
"Helosciadium nodiflorum",820,1702903811661.86
"Helosciadium repens",348,727364319720.585
"Hemarthria altissima",12,35395562037.3972
"Hemerocallis fulva",1509,2824438877867.89
"Hemerocallis lilioasphodelus",845,1536703393485.62
"Hemionitis marantae",2,6369578047.01189
"Hepatica nobilis",1960,3239673968156.54
"Hepatica transsilvanica",53,88451570927.2356
"Heptapleurum actinophyllum",5,9252468012.99948
"Heptapleurum arboricola",7,11800788461.7905
"Heracleum asperum",1,2125478990.9808
"Heracleum austriacum",27,50638127291.4381
"Heracleum mantegazzianum",1443,2192835740725.65
"Heracleum persicum",351,323457678455.748
"Heracleum platytaenium",6,7125690085.10667
"Heracleum pubescens",9,13573858348.1162
"Heracleum pumilum",11,27260516063.7141
"Heracleum sibiricum",1348,2157557537163.94
"Heracleum sphondylium",3376,5196553002105.95
"Heracleum sphondylium subsp. alpinum",3376,5196553002105.95
"Heracleum sphondylium subsp. elegans",3376,5196553002105.95
"Heracleum sphondylium subsp. pyrenaicum",3376,5196553002105.95
"Heracleum sphondylium subsp. ternatum",2,6759121383.84826
"Heracleum sphondylium subsp. transsilvanicum",5,8263101408.7713
"Heracleum sphondylium subsp. verticillatum",2,6755116478.17527
"Heracleum villosum",1,3023197710.24165
"Herniaria alpina",53,93127863499.3621
"Herniaria ciliolata",69,127730224735.043
"Herniaria cinerea",185,496328470970.423
"Herniaria fontanesii",11,26066107011.3395
"Herniaria glabra",1693,3001610041663.83
"Herniaria hemistemon",5,12143745422.0973
"Herniaria hirsuta",655,1449710151471.04
"Herniaria incana",166,375664039773.156
"Herniaria latifolia",36,97046596773.979
"Herniaria polygama",139,279095955524.548
"Hesperis bicuspidata",3,4603034929.93334
"Hesperis laciniata",98,266101141527.394
"Hesperis matronalis",1770,2911244823786.38
"Hesperis matronalis subsp. matronalis",1770,2911244823786.38
"Hesperis steveniana",6,7154929687.62868
"Hesperis sylvestris",18,34087528388.1306
"Hesperis tristis",101,190307559169.697
"Hesperocyparis arizonica",48,120852440299.799
"Hesperocyparis lusitanica",15,33454151464.0192
"Hesperocyparis macrocarpa",49,77813970052.0705
"Heteropogon contortus",68,138791190024.809
"Heuchera sanguinea",189,289093343558.8
"Heuchera villosa",4,7211010220.96584
"Hexaphylla hirsuta",32,92616143795.6675
"Hexaphylla hirta",36,76512849857.4188
"Hibiscus cannabinus",4,8924706652.1434
"Hibiscus moscheutos subsp. moscheutos",160,352721202207.137
"Hibiscus mutabilis",8,14242499256.5619
"Hibiscus syriacus",978,1931547998926.75
"Hibiscus trionum",822,1667749621721.26
"Hibiscus × rosa-sinensis",62,109449230365.222
"Hieracium alpinum",498,527298342279.779
"Hieracium amplexicaule",314,675623579333.855
"Hieracium atratum",32,47856827561.7944
"Hieracium bifidum",305,575233921940.352
"Hieracium bombycinum",31,83396731562.0428
"Hieracium bosniacum",2,3423860534.98794
"Hieracium bupleuroides",103,192165061620.43
"Hieracium caesium",230,349243197585.919
"Hieracium carpetanum",4132,5973393311606.77
"Hieracium compositum",27,72981540967.4172
"Hieracium cruentifolium",35,51538848205.9957
"Hieracium dentatum",44,75120638760.4156
"Hieracium dentifolium",12,19911102421.297
"Hieracium eriophorum",12,22792405308.9243
"Hieracium erosulum",24,62356280044.9591
"Hieracium glabratum",33,56878087663.4329
"Hieracium glaucinum",554,1173753345593.5
"Hieracium glaucinum subsp. cinerascens",554,1173753345593.5
"Hieracium glaucum",103,184437018586.746
"Hieracium humile",129,250558832975.056
"Hieracium inuloides subsp. tridentatifolium",107,174068862654.163
"Hieracium juranum",63,125071847210.114
"Hieracium lachenalii",1123,1962698213422.06
"Hieracium lachenalii subsp. acuminatum",25,47183878742.6658
"Hieracium lachenalii subsp. argillaceum",32,70948488573.2966
"Hieracium laevigatum",760,1406125551138.89
"Hieracium laevigatum subsp. tridentatum",760,1406125551138.89
"Hieracium lapponicum",22,19889706780.9705
"Hieracium leucophaeum",22,41092705561.6636
"Hieracium longifolium",13,20627658986.8891
"Hieracium lycopifolium",41,76875789179.4617
"Hieracium maculatum",443,926541491341.231
"Hieracium murorum",1302,2392468685543.27
"Hieracium nigrescens",47,48684995613.9081
"Hieracium onosmoides",71,147169124923.065
"Hieracium pallescens",52,94052575808.1959
"Hieracium pallidum",54,132260695103.526
"Hieracium pannosum",9,18922780184.9627
"Hieracium pictum",54,114057201232.149
"Hieracium piliferum",125,231677176059.834
"Hieracium piliferum subsp. glanduliferum",125,231677176059.834
"Hieracium pilosum",135,235843602105.753
"Hieracium pilosum subsp. villosiceps",135,235843602105.753
"Hieracium porrifolium",20,41931589198.0315
"Hieracium prenanthoides",197,335793500651.657
"Hieracium racemosum",145,309170221676.214
"Hieracium racemosum subsp. virgaurea",145,309170221676.214
"Hieracium robustum",104,198080450266.466
"Hieracium rohacsense",2,2872055589.16273
"Hieracium sabaudum",952,1862076747416.57
"Hieracium sabaudum subsp. sabaudum",952,1862076747416.57
"Hieracium sabaudum subsp. vagum",53,97677076950.4901
"Hieracium saxatile",15,30739105245.7269
"Hieracium saxifragum",70,126662361022.391
"Hieracium schmidtii",235,513053698121.7
"Hieracium sparsum",3,7411333585.91902
"Hieracium subcaesium",15,20370005957.7545
"Hieracium tenuiflorum",24,48284221514.1914
"Hieracium tomentosum",79,158268976440.048
"Hieracium transylvanicum",6,8565248144.00137
"Hieracium umbellatum",3016,4449444594878.47
"Hieracium umbellatum subsp. umbellatum",3016,4449444594878.47
"Hieracium umbrosum",81,163187890469.031
"Hieracium villosum",221,424730953695.984
"Hieracium virosum",273,521982756099.861
"Hieracium viscosum",29,60267421490.1119
"Hippocrepis balearica",8,4836056642.13656
"Hippocrepis ciliata",160,393633189894.308
"Hippocrepis commutata",73,231595151281.087
"Hippocrepis comosa",771,1675472759288.22
"Hippocrepis conradiae",2,5267484157.83303
"Hippocrepis emerus",638,1338736973324.06
"Hippocrepis emerus subsp. emeroides",638,1338736973324.06
"Hippocrepis multisiliquosa",91,213392239644.192
"Hippocrepis rupestris",14,49412107932.2975
"Hippocrepis scorpioides",89,234262616136.231
"Hippocrepis unisiliquosa",32,68271079823.6738
"Hippocrepis valentina",9,18888172889.1278
"Hippophae rhamnoides",1762,2758748962685.85
"Hippophae rhamnoides subsp. rhamnoides",84,125645252915.805
"Hippuris vulgaris",2651,3355666606712.36
"Hirschfeldia incana",713,1476691705921.18
"Hirtellina fruticosa",3,3938598142.01564
"Hispidella hispanica",55,152034257285.05
"Holcus annuus",80,222762278845.248
"Holcus annuus subsp. setiglumis",74,212518148596.154
"Holcus gayanus",41,104669642375.254
"Holcus lanatus",1936,3370068502706.87
"Holcus mollis",1523,2524627552868.65
"Holosteum umbellatum",876,1857354960449.38
"Homogyne alpina",322,592297803044.565
"Homogyne discolor",27,48372702383.4589
"Honckenya peploides",1014,852957807992.685
"Hordelymus europaeus",580,1106934364302.1
"Hordeum brevisubulatum",26,43726231185.1263
"Hordeum bulbosum",53,119461057941.803
"Hordeum jubatum",924,1490712411307.29
"Hordeum marinum",435,919540333622.604
"Hordeum marinum subsp. gussoneanum",435,919540333622.604
"Hordeum murinum",1539,3005945543326.05
"Hordeum murinum subsp. glaucum",64,145690956711.442
"Hordeum murinum subsp. leporinum",1539,3005945543326.05
"Hordeum pusillum",8,14807137498.408
"Hordeum secalinum",571,1148031282233.07
"Hordeum vulgare",1906,3349883797489.18
"Hordeum vulgare subsp. distichon",1906,3349883797489.18
"Hordeum vulgare subsp. spontaneum",1906,3349883797489.18
"Hormathophylla cadevalliana",7,24025748348.1909
"Hormathophylla halimifolia",10,20996244574.9941
"Hormathophylla lapeyrouseana",22,67443517294.4228
"Hormathophylla purpurea",1,2985478120.21607
"Hormathophylla reverchonii",3,11452293960.6619
"Hormathophylla saxigena",10,28224218185.6013
"Hormathophylla spinosa",68,205289165909.347
"Hormuzakia aggregata",3,5723231114.84457
"Hornungia alpina",248,477099784811.972
"Hornungia alpina subsp. auerswaldii",13,31393223479.05
"Hornungia alpina subsp. brevicaulis",27,37909916986.7998
"Hornungia pauciflora",19,26057730270.2928
"Hornungia petraea",459,974018204231.107
"Hornungia procumbens",222,493796027814.267
"Hosta sieboldiana",110,148457469318.227
"Hosta ventricosa",16,24479409574.8409
"Hottonia palustris",1074,1880683161365.9
"Howea belmoreana",1,1467004467.59275
"Hoya carnosa",6,10994345291.9044
"Humulus lupulus",3419,5869682773565.49
"Humulus scandens",72,154629431067.847
"Hyacinthella pallasiana",24,52700598703.3799
"Hyacinthoides hispanica",907,1682423989809.16
"Hyacinthoides italica",124,214680748044.778
"Hyacinthoides lingulata",1,5992808.71156919
"Hyacinthoides non-scripta",928,1659212524230
"Hyacinthoides × massartiana",401,709043117907.031
"Hyacinthus orientalis",984,1849387262438.01
"Hydrangea arborescens",94,171425469006.042
"Hydrangea macrophylla",514,999700186852.204
"Hydrocharis morsus-ranae",1833,3060832264194.78
"Hydrocotyle moschata",2,5055815195.38898
"Hydrocotyle novae-zeelandiae",2,2096956836.74209
"Hydrocotyle ranunculoides",185,330631603640.923
"Hydrocotyle verticillata",8,10125311099.2641
"Hydrocotyle vulgaris",1046,1761056577832
"Hylotelephium anacampseros",97,176621841799.379
"Hylotelephium cauticola",9,16007281602.0591
"Hylotelephium ewersii",120,164984879454.132
"Hylotelephium maximum",1891,3164342869953.91
"Hylotelephium maximum subsp. ruprechtii",145,290393925098.831
"Hylotelephium pallescens",2,3798468063.2094
"Hylotelephium spectabile",387,629457436496.38
"Hylotelephium telephium",1895,2960061170267.38
"Hylotelephium telephium subsp. telephium",267,319087922503.563
"Hymenoxys hoopesii",3,5158482241.65359
"Hyoscyamus albus",368,790022680949.165
"Hyoscyamus aureus",4,9637668794.98644
"Hyoscyamus niger",2220,4021886299489.04
"Hyoscyamus reticulatus",2,6016441067.81993
"Hyoseris lucida subsp. taurina",1,1914401496.20206
"Hyoseris radiata",138,256793459447.472
"Hyoseris scabra",81,138511689590.047
"Hyparrhenia hirta",248,509404186734.194
"Hypecoum imberbe",193,511600848990.627
"Hypecoum littorale",5,4889661304.94378
"Hypecoum pendulum",137,395702181113.045
"Hypecoum procumbens",119,265541002295.165
"Hypericum aegypticum",5,2062713457.58983
"Hypericum androsaemum",863,1665437537953
"Hypericum annulatum",6,10841906421.2734
"Hypericum atomarium",1,3572224493.49669
"Hypericum aucheri",5,6884378558.58446
"Hypericum balearicum",8,6145020010.06797
"Hypericum barbatum",11,26670181284.5731
"Hypericum calycinum",799,1592761519229.88
"Hypericum canariense",8,24595640973.5417
"Hypericum caprifolium",37,125904260279.547
"Hypericum cerastoides",8,11969962990.7307
"Hypericum coris",32,66090172273.0957
"Hypericum elegans",258,508575568735.975
"Hypericum elodes",443,873844337492.355
"Hypericum empetrifolium",33,50058866888.8164
"Hypericum foliosum",1,3572224493.49669
"Hypericum glandulosum",3,8816969506.90675
"Hypericum grandifolium",4,9926375586.17657
"Hypericum hircinum",283,543077991237.734
"Hypericum hirsutum",1184,2169569324978.95
"Hypericum humifusum",1052,2010719274383.25
"Hypericum hyssopifolium",62,172050390673.54
"Hypericum linariifolium",217,515292289742.682
"Hypericum linarioides",8,14586020515.3647
"Hypericum lydium",7,8770492020.46466
"Hypericum maculatum",2508,3811905254678.8
"Hypericum maculatum subsp. obtusiusculum",2508,3811905254678.8
"Hypericum montanum",972,1871880774090.27
"Hypericum nummularium",64,143630271473.76
"Hypericum olympicum",106,185573777329.226
"Hypericum patulum",4,11088740525.8472
"Hypericum perfoliatum",458,1037672553145.77
"Hypericum perforatum",3295,5804062070858.84
"Hypericum perforatum subsp. veronense",3295,5804062070858.84
"Hypericum polyphyllum",2,4408739913.75661
"Hypericum przewalskii",1,3572224493.49669
"Hypericum pulchrum",888,1533328540268.96
"Hypericum richeri",139,316466348032.008
"Hypericum richeri subsp. grisebachii",139,316466348032.008
"Hypericum rumeliacum",18,38073647327.2115
"Hypericum tetrapterum",1121,2121451388990.21
"Hypericum tomentosum",143,385657877921.196
"Hypericum triquetrifolium",91,156049679970.13
"Hypericum undulatum",165,434591396030.804
"Hypericum xylosteifolium",7,10271306184.368
"Hypericum × desetangsii",370,719581579957.578
"Hypericum × inodorum",35,66726926217.6039
"Hypertelis cerviana",45,116207742109.657
"Hypochaeris achyrophorus",107,203170961024.123
"Hypochaeris glabra",892,1787485381883.97
"Hypochaeris laevigata",3,5345397456.10697
"Hypochaeris maculata",1398,2248183637278.73
"Hypochaeris radicata",1892,3309478766816.64
"Hypochaeris uniflora",5901,8617407840182.05
"Iberis amara",699,1468424141141.06
"Iberis aurosica subsp. nana",4,9723845563.31938
"Iberis carnosa",88,250767960764.186
"Iberis ciliata",145,374085963987.784
"Iberis ciliata subsp. welwitschii",145,374085963987.784
"Iberis contracta",57,169009573788.455
"Iberis fontqueri",4,13643981441.3459
"Iberis gibraltarica",6,11950088751.4101
"Iberis intermedia subsp. violletii",29,74402433032.4026
"Iberis linifolia",113,274681018185.268
"Iberis odorata",7,19116460535.7942
"Iberis pectinata",43,136486388531.606
"Iberis pinnata",135,337351917660.929
"Iberis procumbens",27,51910287481.3022
"Iberis procumbens subsp. microcarpa",7,13935544665.1807
"Iberis saxatilis",189,495993790950.089
"Iberis semperflorens",30,62207398836.0454
"Iberis sempervirens",571,1179181820348.68
"Iberis umbellata",887,1604698842626.62
"Iberodes kuzinskyana",9,18267441284.5012
"Iberodes linifolia",136,382838725889.622
"Ibicella lutea",33,72752117409.7739
"Ilex aquifolium",1437,2697932862944.27
"Ilex canariensis",3,6914440562.03827
"Ilex colchica",1,1488544021.65766
"Ilex crenata",45,63884191796.8271
"Ilex perado subsp. azorica",5,8928028343.16299
"Ilex perado subsp. platyphylla",5,8928028343.16299
"Impatiens balfourii",535,1169151176486.05
"Impatiens balsamina",331,674395776599.641
"Impatiens capensis",225,434055181660.076
"Impatiens glandulifera",2627,4061962187940.82
"Impatiens hawkeri",2,5970200984.26726
"Impatiens noli-tangere",1945,3210019634236.04
"Impatiens parviflora",1932,3325950086492.08
"Impatiens scabrida",1,3572224493.49669
"Impatiens sodenii",4,7539496760.63689
"Impatiens walleriana",81,144083474835.203
"Imperata cylindrica",199,462275404376.123
"Incarvillea delavayi",2,6006272541.91742
"Incarvillea olgae",1,3572224493.49669
"Indigofera heterantha",13,27236729617.5138
"Indigofera tinctoria",1,2527505198.92782
"Inula candida",2,334278480.564466
"Inula candida subsp. limonella",2,334278480.564466
"Inula helenium",2002,3587119876149.94
"Inula magnifica",8,13325587368.502
"Ipomoea alba",12,25646023998.9443
"Ipomoea batatas",110,257345240006.454
"Ipomoea cairica",34,59773008891.0018
"Ipomoea hederacea",57,101322315872.634
"Ipomoea hederifolia",2,4247035222.5419
"Ipomoea imperati",17,25886887965.6228
"Ipomoea indica",288,553554434539.59
"Ipomoea lobata",8,20470394443.2029
"Ipomoea nil",10,16897915092.6975
"Ipomoea pes-caprae",1,2872055589.16273
"Ipomoea purpurea",1038,2070693632191.08
"Ipomoea sagittata",32,56112003242.6175
"Ipomoea tricolor",29,63095378369.8551
"Ipomopsis rubra",1,3572224493.49669
"Iresine diffusa f. herbstii",2,1559754426.26101
"Iris aphylla",350,650778232657.028
"Iris caucasica",1,2575089514.63177
"Iris crocea",1,2388187942.95859
"Iris foetidissima",724,1522428554175.85
"Iris glaucescens",10,18315114142.4544
"Iris graminea",458,972142310428.997
"Iris halophila",106,210219317398.775
"Iris humilis",21,38394961430.2735
"Iris iberica",2,6857428087.9059
"Iris japonica",74,161561839311.836
"Iris lactea",1,2721173429.92566
"Iris laevigata",27,42339949931.7222
"Iris latifolia",3666,6241809231398.95
"Iris lutescens",245,616129171556.947
"Iris orientalis",166,349381659885.268
"Iris pallida",295,627251159282.546
"Iris pallida subsp. cengialti",10,17647125788.9687
"Iris pseudacorus",3107,5165100773281.97
"Iris pumila",410,812882431184.067
"Iris reticulata",163,277294830550.616
"Iris sanguinea",171,279515569581.122
"Iris sibirica",1274,2175656765415.13
"Iris spuria",151,299822582313.638
"Iris suaveolens",18,32668494126.7163
"Iris tuberosa",153,321212285652.362
"Iris unguicularis subsp. cretensis",5,10379813741.5582
"Iris variegata",246,467360011812.937
"Iris versicolor",152,263009510789.109
"Iris xiphium",392,965460909573.12
"Iris × germanica",1008,1968230827258.05
"Isatis apennina",6,15016188515.8568
"Isatis littoralis",6,6928446377.24481
"Isatis lusitanica",1,3186896890.3514
"Isatis praecox",3,4559527039.40126
"Isatis tinctoria",1011,1867256568120.19
"Ismelia carinata",45,68305163275.4781
"Isoetes lacustris",1131,1369123974652.79
"Isolepis fluitans",506,899894840496.679
"Isopyrum thalictroides",549,1181648567869.95
"Ixiolirion tataricum",3,2548127636.80141
"Jacaranda mimosifolia",102,230241977634.955
"Jacobaea abrotanifolia",93,172739797431.244
"Jacobaea adonidifolia",158,404723454669.977
"Jacobaea alpina",138,260219970377.362
"Jacobaea alpina subsp. samnitum",6,17070518424.8848
"Jacobaea aquatica",900,1628525419947.37
"Jacobaea borysthenica",34,78233333449.8819
"Jacobaea cannabifolia",21,20102003703.4185
"Jacobaea carniolica",42,74636460631.0128
"Jacobaea delphiniifolia",3,9053647619.77293
"Jacobaea erratica",449,909035420941.451
"Jacobaea erucifolia",1208,2408864027652.93
"Jacobaea erucifolia subsp. erucifolia",1208,2408864027652.93
"Jacobaea incana",95,182347893395.48
"Jacobaea maritima",857,1639783418416.37
"Jacobaea maritima subsp. bicolor",857,1639783418416.37
"Jacobaea paludosa",602,1087996916116.6
"Jacobaea subalpina",38,67298222066.4819
"Jacobaea vulgaris",2687,4710629882534.03
"Jacquemontia tamnifolia",2,2327874736.01146
"Janochloa antidotalis",2,6755116478.17507
"Jasione heldreichii",28,49872616663.0633
"Jasione laevis",176,422140955819.348
"Jasione montana",1922,3406218950226.56
"Jasione orbiculata",16,33613569537.5141
"Jasminum azoricum",4,11812145999.9892
"Jasminum grandiflorum",9,18512297256.6846
"Jasminum nudiflorum",560,1152247032744.57
"Jasminum officinale",287,640662606514.967
"Jasminum polyanthum",27,54169606645.927
"Jasminum sambac",4,7475233693.28202
"Jasonia tuberosa",120,341699095522.428
"Juglans cinerea",54,82941094359.6113
"Juglans nigra",707,1468007764380.83
"Juglans regia",1958,3893082371893.15
"Juncinella capitata",2,5748597993.68914
"Juncus acutiflorus",989,1869124187458.8
"Juncus acutus",442,836181503531.852
"Juncus alpinoarticulatus",1934,2235507957183.08
"Juncus anceps",146,264727443070.456
"Juncus arcticus",445,379135665856.185
"Juncus articulatus",2751,4373895513355.52
"Juncus atratus",175,327011768784.604
"Juncus balticus",403,340335846276.587
"Juncus biglumis",713,481378434188.876
"Juncus bufonius",3008,4345212143372
"Juncus bulbosus",1675,2498817015103.37
"Juncus compressus",2033,3403920644586.6
"Juncus conglomeratus",2082,3272537961199.39
"Juncus dichotomus",5,12813794663.9698
"Juncus effusus",2705,4447650108302.33
"Juncus filiformis",2318,2665539845165.59
"Juncus gerardi",1249,1662419415585.63
"Juncus gregiflorus",3,2433943721.9191
"Juncus hybridus",443,776867506970.928
"Juncus inflexus",1348,2662005503198.35
"Juncus jacquinii",90,150509070623.949
"Juncus littoralis",31,44947957262.162
"Juncus maritimus",529,840645065189.031
"Juncus minutulus",338,455398242865.413
"Juncus procerus",5,4914370291.4032
"Juncus pygmaeus",327,753391360804.096
"Juncus ranarius",717,972644758568.964
"Juncus sphaerocarpus",115,305823497729.279
"Juncus squarrosus",968,1616742201927.95
"Juncus subnodulosus",769,1529058979107.39
"Juncus subulatus",111,249332281381.04
"Juncus tenageia",533,1230696047093.41
"Juncus tenuis",1695,2932081350237.03
"Juncus thomasii",1,2721173429.92572
"Juncus triglumis",744,678686236793.736
"Juncus xiphioides",2,786148479.679321
"Juncus × diffusus",64,132042911021.488
"Juniperus cedrus",3,7749859117.7302
"Juniperus chinensis",61,101884949256.316
"Juniperus communis",3927,5622616154507.03
"Juniperus communis var. hemisphaerica",3927,5622616154507.03
"Juniperus communis var. saxatilis",3927,5622616154507.03
"Juniperus deltoides",69,144596203135.285
"Juniperus drupacea",2,5193326965.05105
"Juniperus excelsa",19,27856221615.7467
"Juniperus foetidissima",7,18674010468.0518
"Juniperus horizontalis",32,56299839936.7558
"Juniperus macrocarpa",83,115143412323.222
"Juniperus occidentalis",2,3228423597.81161
"Juniperus oxycedrus",492,1142951936631.68
"Juniperus phoenicea",311,645412004800.644
"Juniperus procumbens",5,4291483040.88375
"Juniperus pseudosabina",1,1470339754.15317
"Juniperus rigida",5,13582993557.5692
"Juniperus sabina",400,854927721437.718
"Juniperus scopulorum",14,17437927670.3512
"Juniperus squamata",24,45627453578.6527
"Juniperus thurifera",120,345254677495.798
"Juniperus turbinata",138,198997930961.805
"Juniperus virginiana",230,457921658298.088
"Jurinea alata",1,3186896890.3514
"Jurinea arachnoidea",142,276500648346.327
"Jurinea consanguinea",6,10025847003.4236
"Jurinea cyanoides",311,574682419820.203
"Jurinea humilis",109,335523733374.828
"Jurinea longifolia",9,15800542700.2175
"Jurinea mollis",82,162960538826.58
"Jurinea multiflora",139,277244713746.973
"Jurinea roegneri",15,23683933269.6158
"Jurinea stoechadifolia",42,93326332752.1978
"Justicia adhatoda",5,11305880363.7463
"Kalanchoe blossfeldiana",15,25042734206.1033
"Kalanchoe daigremontiana",54,117917711517.861
"Kalanchoe delagoensis",56,106880523514.909
"Kalanchoe laciniata",1,3572224493.49669
"Kalmia angustifolia",98,173100991876.757
"Kalmia latifolia",10,18418709693.1798
"Kalmia procumbens",1006,915045771890.83
"Karpatiosorbus hybrida",75,179360919183.572
"Karpatiosorbus latifolia",242,523633818686.093
"Kernera saxatilis",200,413733758321.754
"Kerria japonica",606,1160588053759.38
