"species","tiles","area"
"Aegilops ventricosa",100,288796280014.472
"Aegonychon purpurocaeruleum",718,1618627850977.5
"Aegopodium podagraria",3442,5414908697699.82
"Aegopodium tribracteolatum",1,2480489135.0864
"Aeluropus littoralis",141,314846582520.991
"Aeonium arboreum",357,689477169817.591
"Aeonium arboreum subsp. arboreum",357,689477169817.591
"Aeonium arboreum subsp. holochrysum",357,689477169817.591
"Aeonium balsamiferum",2,2721094796.13433
"Aeonium cuneatum",4,3330494360.94415
"Aeonium decorum",4,3147996397.14425
"Aeonium glutinosum",2,6393470677.2602
"Aeonium haworthii",42,62155940991.8792
"Aeonium percarneum",2,6040087757.76904
"Aeonium undulatum",2,2556686151.04029
"Aesculus flava",52,92760211360.932
"Aesculus glabra",8,12591174323.7558
"Aesculus hippocastanum",2126,3813678811522.84
"Aesculus indica",26,52343140169.5971
"Aesculus parviflora",86,143248122922.875
"Aesculus pavia",50,93005010874.6862
"Aesculus turbinata",4,6893736895.35007
"Aesculus × hybrida",2,5055578649.71804
"Aesculus × neglecta",1,2480489135.08653
"Aethionema arabicum",1,3572224493.49669
"Aethionema grandiflorum",1,3572224493.49669
"Aethionema saxatile",269,625173169105.623
"Aethionema thomasianum",15,40124374231.2036
"Aethusa cynapium",1324,2287367113023.58
"Agapanthus africanus",17,38976691685.6866
"Agastache foeniculum",73,111119676419.213
"Agastache nepetoides",1,3572224493.49669
"Agastache rugosa",124,174442601221.545
"Agave americana",518,1056688982387.54
"Agave attenuata",42,62381951823.8036
"Agave fourcroydes",23,44927096734.4897
"Agave salmiana",24,34423298992.464
"Ageratina adenophora",75,149176710485.198
"Ageratina altissima",21,37499538563.747
"Ageratum houstonianum",969,1890017484489.21
"Agrimonia eupatoria",2711,5024452651334.9
"Agrimonia pilosa",397,688723879388.065
"Agrimonia procera",1003,1826313503496.36
"Agrimonia repens",119,290737174712.463
"Agropyron cristatum",601,1203614304319.69
"Agropyron dasyanthum",13,20397453300.1955
"Agropyron desertorum",82,154643681161.879
"Agropyron fragile",17,34534025166.7193
"Agrostemma githago",1812,3286789098520.02
"Agrostis canina",2278,3196104872754.73
"Agrostis capillaris",3240,4475805526742.11
"Agrostis castellana",349,819307760551.82
"Agrostis exarata",5,6161693428.30106
"Agrostis gigantea",2293,3327912015119.95
"Agrostis mertensii",775,616204264070.677
"Agrostis pourretii",119,305456386528.598
"Agrostis rupestris",156,294596041934.404
"Agrostis scabra",116,152643489620.456
"Agrostis schraderiana",102,175182933196.045
"Agrostis stolonifera",3035,4366619393120.06
"Agrostis vinealis",1247,1714864742490.7
"Aichryson laxum",3,5495654448.78176
"Aichryson punctatum",1,3572224493.49669
"Ailanthus altissima",1581,3237152447659.31
"Aira caryophyllea",1019,1909369039550.87
"Aira elegans",135,303733208888.803
"Aira praecox",939,1546166191230.89
"Aizoon canariense",5,15111508805.2307
"Ajania pacifica",1,2480489135.0864
"Ajuga chamaepitys",974,2195719538049.64
"Ajuga chamaepitys subsp. chia",974,2195719538049.64
"Ajuga genevensis",1495,2982492820080.05
"Ajuga iva",217,469748834658.531
"Ajuga laxmannii",110,228562996874.154
"Ajuga orientalis",44,76779905484.3164
"Ajuga pyramidalis",1153,1764445303397.14
"Ajuga reptans",2589,4476034649172.4
"Ajuga salicifolia",5,7856509682.78671
"Akebia quinata",144,252470540464.013
"Albizia julibrissin",377,734607058540.997
"Albizia lebbeck",1,2986890359.47156
"Albuca bracteata",3,7120616466.18871
"Alcea biennis",147,299274271937.446
"Alcea digitata",1,2518088250.8977
"Alcea heldreichii",4,6274422230.83234
"Alcea rosea",1851,3593357107487.88
"Alcea rugosa",151,275841879075.599
"Alcea setosa",19,38655403992.5593
"Alchemilla acutidens",18,33865254802.8191
"Alchemilla alpigena",116,225807428686.006
"Alchemilla alpina",923,990861625432.971
"Alchemilla arvensis",5864,8505497673332.51
"Alchemilla australis",51,84636903284.354
"Alchemilla chirophylla",19,46106254558.4209
"Alchemilla colorata",85,152091000876.853
"Alchemilla conjuncta",138,225430411782.51
"Alchemilla connivens",99,190464091851.75
"Alchemilla coriacea",147,310211058781.902
"Alchemilla crinita",139,225891873938.164
"Alchemilla filicaulis",992,1311579645641.92
"Alchemilla fissa",124,224505901289.505
"Alchemilla flabellata",121,240847453283.891
"Alchemilla glabra",1216,1631442557290.57
"Alchemilla glaucescens",839,1167082059170
"Alchemilla glomerulans",873,798972079882.508
"Alchemilla holocycla",3,4005106359.73434
"Alchemilla hoppeana",112,209711429086.556
"Alchemilla hybrida",101,220876344412.926
"Alchemilla micans",947,1281356483100.41
"Alchemilla microcarpa",19,44036370815.1139
"Alchemilla mollis",1084,1650208736111.41
"Alchemilla monticola",1495,1991612719489.94
"Alchemilla murbeckiana",608,512154021391.699
"Alchemilla nitida",81,137297281833.85
"Alchemilla othmarii",20,31088254884.2175
"Alchemilla oxyodonta",31,30799392808.5248
"Alchemilla pallens",85,145383800018.893
"Alchemilla pentaphyllea",55,94108139444.1807
"Alchemilla plicata",282,390082180391.84
"Alchemilla plicatula",40,70054955464.6933
"Alchemilla propinqua",306,436794605548.642
"Alchemilla sarmatica",209,293209428602.744
"Alchemilla sericata",3,4017164641.71162
"Alchemilla splendens",30,49773312388.8329
"Alchemilla subcrenata",1335,1577246409676.38
"Alchemilla tenuis",32,53993642768.29
"Alchemilla transiens",82,195617152258.975
"Alchemilla vetteri",39,89234944875.6898
"Alchemilla vulgaris",1792,2379774284461.9
"Alchemilla walasii",3,5150734106.25694
"Alchemilla wichurae",602,554301870411.641
"Alchemilla xanthochlora",779,1411000584770.88
"Alhagi graecorum",3,4569117193.66292
