plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Myosotis stricta;Boraginaceae;9;5;3397.486666666666;NA;2.71618290259189;4.56010308502058;8.21266266365503;0.10466351393921054;Non-Woody
Myosotis alpestris;Boraginaceae;11;6;NA;36.11999999999999;3.5735338073722;1.46244747365454;7.65451105139996;0.07532657040109902;Non-Woody
Myosotis decumbens;Boraginaceae;2;2;NA;NA;6.62573938522654;2.34227923734076;6.66927816009351;0.21213203435596423;Non-Woody
Myosotis sylvatica;Boraginaceae;22;17;2893.4600000000005;NA;6.64835656268057;3.61350834139329;4.9141230031417;0.3080070288241023;Non-Woody
Myrica gale;Myricaceae;60;57;1277.8733333333334;25.455844122715707;2.33443898574537;4.4428952635991;7.3874342686287;1.5824090216367095;Woody
Myricaria germanica;Tamaricaceae;23;14;60.96333333333333;NA;3.03821256294137;3.3980520672453;8.02589602011924;1.338865900164339;Woody
Myriophyllum spicatum;Haloragaceae;8;5;3347.72;33.581281812966175;6.17905895436856;4.18002099636568;5.71854760388202;0.8660254037844387;Non-Woody
Myriophyllum verticillatum;Haloragaceae;7;4;1454.3066666666666;NA;6.92747579435748;4.39800430182476;5.62808163252276;0.7745966692414833;Non-Woody
Myrrhis odorata;Apiaceae;12;10;111.01666666666664;51.5;7.1565961191484;3.41870380289008;6.77263665658214;0.9211558703193814;Non-Woody
Narcissus pseudonarcissus;Amaryllidaceae;4;4;695.0233333333334;37.27047955727877;4.03527880161745;3.69581434519547;7.23552383931855;0.2892507608519078;Non-Woody
Nardus stricta;Poaceae;35;25;5891.563333333334;15.91492152126911;2.38453353132221;2.94829378848498;7.71078489332136;0.1471264624567026;Non-Woody
Narthecium ossifragum;Nartheciaceae;3;3;570.5833333333334;24.14642830730871;1.41668798124245;3.08501729756036;7.74766829044857;0.20597671439071177;Non-Woody
Nasturtium microphyllum;Brassicaceae;3;1;NA;NA;6.69710829898256;3.96916931147945;6.97443417706068;0.4978359916959345;Non-Woody
Nasturtium officinale;Brassicaceae;51;23;5150.383333333334;55.569999999999986;6.71416513348683;4.18881110493084;6.43589718776481;0.6640091518201929;Non-Woody
Neottia nidus-avis;Orchidaceae;1;0;2963.973333333334;NA;5.18708143776138;4.06606626094199;1.45662150452934;0.447213595499958;Non-Woody
Nepeta cataria;Lamiaceae;22;17;544.88;18.407141710862096;7.15117762510678;5.01669881577988;7.74900649798269;0.6755325072594104;Non-Woody
