"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Achillea erba-rotta",2,TRUE,3109895,"Asteraceae","Achillea"
"Achillea erba-rotta subsp. moschata",11,TRUE,3109912,"Asteraceae","Achillea"
"Achillea euxina",1,TRUE,3109914,"Asteraceae","Achillea"
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea"
"Achillea glaberrima",2,TRUE,3109939,"Asteraceae","Achillea"
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea"
"Achillea grandifolia",3,TRUE,3109941,"Asteraceae","Achillea"
"Achillea holosericea",1,TRUE,3109954,"Asteraceae","Achillea"
"Achillea impatiens",3,TRUE,3109963,"Asteraceae","Achillea"
"Achillea kotschyi",1,TRUE,3109969,"Asteraceae","Achillea"
"Achillea leptophylla",1,TRUE,3109982,"Asteraceae","Achillea"
"Achillea ligustica",12,TRUE,3109986,"Asteraceae","Achillea"
"Achillea lingulata",2,TRUE,3109990,"Asteraceae","Achillea"
"Achillea macrophylla",5,TRUE,3109996,"Asteraceae","Achillea"
"Achillea maritima",5,TRUE,3109998,"Asteraceae","Achillea"
"Achillea micrantha",5,TRUE,3110023,"Asteraceae","Achillea"
"Achillea millefolium",281,TRUE,2908230,"Asteraceae","Achillea"
"Achillea millefolium subsp. alpestris",3,TRUE,2909358,"Asteraceae","Achillea"
"Achillea millefolium subsp. millefolium",1,TRUE,3265623,"Asteraceae","Achillea"
"Achillea nana",5,TRUE,3110043,"Asteraceae","Achillea"
"Achillea nobilis",22,TRUE,3110044,"Asteraceae","Achillea"
"Achillea nobilis subsp. neilreichii",4,TRUE,3110066,"Asteraceae","Achillea"
"Achillea ochroleuca",7,TRUE,3110072,"Asteraceae","Achillea"
"Achillea odorata",14,TRUE,3110082,"Asteraceae","Achillea"
"Achillea oxyloba subsp. schurii",1,TRUE,3110089,"Asteraceae","Achillea"
"Achillea pannonica",8,TRUE,3110094,"Asteraceae","Achillea"
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea"
"Achillea pseudopectinata",2,TRUE,3109604,"Asteraceae","Achillea"
"Achillea ptarmica",59,TRUE,3109605,"Asteraceae","Achillea"
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea"
"Achillea pyrenaica",1,TRUE,3110135,"Asteraceae","Achillea"
"Achillea roseoalba",2,TRUE,3110137,"Asteraceae","Achillea"
"Achillea salicifolia",10,TRUE,3110151,"Asteraceae","Achillea"
"Achillea setacea",21,TRUE,2908241,"Asteraceae","Achillea"
"Achillea sintenisii",1,FALSE,3110174,"Asteraceae","Achillea"
"Achillea sipikorensis",1,FALSE,3110175,"Asteraceae","Achillea"
"Achillea taygetea",1,TRUE,3110183,"Asteraceae","Achillea"
"Achillea tenuifolia",4,FALSE,3110192,"Asteraceae","Achillea"
"Achillea teretifolia",1,FALSE,3110194,"Asteraceae","Achillea"
"Achillea tomentosa",3,TRUE,2909026,"Asteraceae","Achillea"
"Achillea umbellata",2,TRUE,3110199,"Asteraceae","Achillea"
"Achillea wilhelmsii",1,FALSE,3109777,"Asteraceae","Achillea"
"Achnatherum bromoides",5,TRUE,387254,"Poaceae","Achnatherum"
"Achnatherum calamagrostis",16,TRUE,387255,"Poaceae","Achnatherum"
"Achnatherum paradoxum",2,TRUE,523782,"Poaceae","Achnatherum"
"Achnatherum parviflorum",6,TRUE,539640,"Poaceae","Achnatherum"
"Achnatherum pekinense",1,FALSE,387140,"Poaceae","Achnatherum"
"Achnatherum sibiricum",1,FALSE,387154,"Poaceae","Achnatherum"
"Achnatherum virescens",3,TRUE,524566,"Poaceae","Achnatherum"
"Achyranthes aspera",1,TRUE,2617475,"Amaranthaceae","Achyranthes"
"Achyranthes aspera var. sicula",1,TRUE,2617494,"Amaranthaceae","Achyranthes"
"Acmella ciliata",1,FALSE,3123723,"Asteraceae","Acmella"
"Acokanthera oblongifolia",1,FALSE,2164,"Apocynaceae","Acokanthera"
"Aconitum anthora",2,TRUE,2618374,"Ranunculaceae","Aconitum"
"Aconitum anthora subsp. anthora",1,TRUE,3310057,"Ranunculaceae","Aconitum"
"Aconitum barbatum",2,FALSE,2618419,"Ranunculaceae","Aconitum"
"Aconitum carmichaelii",2,FALSE,2618501,"Ranunculaceae","Aconitum"
"Aconitum degenii",4,TRUE,2618605,"Ranunculaceae","Aconitum"
"Aconitum firmum",5,TRUE,2618699,"Ranunculaceae","Aconitum"
"Aconitum fischeri",1,FALSE,2618710,"Ranunculaceae","Aconitum"
"Aconitum lamarckii",9,TRUE,2618952,"Ranunculaceae","Aconitum"
"Aconitum lasiocarpum",2,TRUE,2618958,"Ranunculaceae","Aconitum"
"Aconitum lasiostomum",1,TRUE,2618961,"Ranunculaceae","Aconitum"
"Aconitum lycoctonum",16,TRUE,2619019,"Ranunculaceae","Aconitum"
"Aconitum moldavicum",5,TRUE,2619078,"Ranunculaceae","Aconitum"
"Aconitum napellus",21,TRUE,2619110,"Ranunculaceae","Aconitum"
"Aconitum napellus subsp. lusitanicum",3,TRUE,2619166,"Ranunculaceae","Aconitum"
"Aconitum orientale",2,FALSE,2619270,"Ranunculaceae","Aconitum"
"Aconitum plicatum",3,TRUE,2619355,"Ranunculaceae","Aconitum"
"Aconitum septentrionale",11,TRUE,2619505,"Ranunculaceae","Aconitum"
"Aconitum tauricum",4,TRUE,2619611,"Ranunculaceae","Aconitum"
"Aconitum toxicum",2,TRUE,2619640,"Ranunculaceae","Aconitum"
"Aconitum variegatum",15,TRUE,2619691,"Ranunculaceae","Aconitum"
"Aconitum volubile",1,FALSE,2619747,"Ranunculaceae","Aconitum"
"Aconitum vulparia",13,TRUE,2619756,"Ranunculaceae","Aconitum"
"Aconitum yuparense",1,FALSE,2619809,"Ranunculaceae","Aconitum"
"Aconitum × cammarum",9,TRUE,2618485,"Ranunculaceae","Aconitum"
"Acorus calamus",8,FALSE,2304,"Acoraceae","Acorus"
"Acorus gramineus",1,FALSE,2322,"Acoraceae","Acorus"
"Acrospelion distichophyllum",4,TRUE,533047,"Poaceae","Acrospelion"
"Actaea cordifolia",1,FALSE,2620528,"Ranunculaceae","Actaea"
"Actaea dahurica",1,FALSE,2620530,"Ranunculaceae","Actaea"
"Actaea erythrocarpa",1,TRUE,2620535,"Ranunculaceae","Actaea"
"Actaea europaea",6,TRUE,2620536,"Ranunculaceae","Actaea"
"Actaea japonica",1,FALSE,2620541,"Ranunculaceae","Actaea"
"Actaea pachypoda",3,FALSE,2620557,"Ranunculaceae","Actaea"
"Actaea racemosa",2,FALSE,2620567,"Ranunculaceae","Actaea"
"Actaea rubra",4,FALSE,2620570,"Ranunculaceae","Actaea"
"Actaea simplex",1,FALSE,2620576,"Ranunculaceae","Actaea"
"Actaea spicata",16,TRUE,2620577,"Ranunculaceae","Actaea"
"Actinidia chinensis",8,FALSE,2620644,"Actinidiaceae","Actinidia"
"Actinidia chinensis var. deliciosa",8,FALSE,2874080,"Actinidiaceae","Actinidia"
"Adelocaryum coelestinum",2,FALSE,2621176,"Boraginaceae","Adelocaryum"
"Adenocarpus complicatus",21,TRUE,2621654,"Fabaceae","Adenocarpus"
"Adenocarpus complicatus subsp. aureus",1,TRUE,2621656,"Fabaceae","Adenocarpus"
"Adenocarpus complicatus subsp. samniticus",2,TRUE,2913484,"Fabaceae","Adenocarpus"
"Adenocarpus decorticans",2,TRUE,2621666,"Fabaceae","Adenocarpus"
"Adenocarpus foliolosus",30,FALSE,2621673,"Fabaceae","Adenocarpus"
"Adenocarpus hispanicus",5,TRUE,2621679,"Fabaceae","Adenocarpus"
"Adenocarpus telonensis",1,TRUE,2621699,"Fabaceae","Adenocarpus"
"Adenocarpus viscosus",20,FALSE,2621704,"Fabaceae","Adenocarpus"
"Adenophora liliifolia",4,TRUE,360310,"Campanulaceae","Adenophora"
"Adenostyles alliariae",31,TRUE,3086712,"Asteraceae","Adenostyles"
"Adenostyles alpina",18,TRUE,3086733,"Asteraceae","Adenostyles"
"Adenostyles alpina subsp. pyrenaica",4,TRUE,3086755,"Asteraceae","Adenostyles"
"Adenostyles australis",2,TRUE,3086759,"Asteraceae","Adenostyles"
"Adenostyles leucophylla",6,TRUE,3086778,"Asteraceae","Adenostyles"
"Adiantum capillus-veneris",6,TRUE,3147345,"Pteridaceae","Adiantum"
"Adonis aestivalis",7,TRUE,2623039,"Ranunculaceae","Adonis"
"Adonis annua",3,TRUE,2623065,"Ranunculaceae","Adonis"
"Adonis distorta",1,TRUE,2623126,"Ranunculaceae","Adonis"
"Adonis flammea",3,TRUE,2623131,"Ranunculaceae","Adonis"
"Adonis pyrenaica",1,TRUE,2623191,"Ranunculaceae","Adonis"
"Adonis vernalis",9,TRUE,2623208,"Ranunculaceae","Adonis"
"Adonis volgensis",3,TRUE,2623216,"Ranunculaceae","Adonis"
"Adoxa moschatellina",12,TRUE,2623230,"Viburnaceae","Adoxa"
